,name,category,star,star_count,review,address,위도,경도
59,백년불고기물갈비 서초점,"불고기,두루치기",4.6,5건,26,서울 서초구 효령로55길 22 그린빌오피스 101호,37.4857996317481,127.014693666479
60,롯데리아 남부터미널점,패스트푸드,2.0,21건,8,서울 서초구 효령로 289 장곡빌딩 103호,37.4851294931638,127.015844898549
61,진미일식,일식,5.0,3건,12,서울 서초구 효령로68길 102 선민빌딩 1층,37.4854064736992,127.019398672306
62,오늘와인한잔 남부터미널역점,와인바,4.0,2건,17,서울 서초구 서초중앙로 15 현대슈퍼빌상가동 1층 104호,37.4830108887405,127.015641614311
63,신선설농탕 서초점,설렁탕,3.4,15건,6,서울 서초구 효령로 322,37.4855842185782,127.019544688905
64,에머이 남부터미널점,베트남음식,2.9,16건,185,"서울 서초구 서초중앙로 26 래미안 서초유니빌 1,2층",37.4846872089607,127.016991752076
65,찜통 남부터미널점,"육류,고기",2.8,38건,32,서울 서초구 효령로 276,37.484383366249,127.014453689027
66,티안,카페,4.3,3건,26,서울 서초구 서리풀길 21 1층,37.4881935694247,127.020424728243
67,스타벅스 서초동점,커피전문점,4.0,8건,1,서울 서초구 남부순환로339길 64 현우빌딩1층,37.4859259765406,127.021583627348
68,BHC치킨 서초교대점,치킨,4.3,4건,2,서울 서초구 사임당로12길 17,37.4882555354808,127.01717358841
69,예술상회,한식,5.0,4건,35,서울 서초구 반포대로10길 45 1층,37.48417111057,127.014273308255
70,바나프레소 남부터미널점,카페,2.8,4건,10,서울 서초구 효령로57길 1,37.4853173911549,127.016873739276
71,오우치,"육류,고기",5.0,7건,20,서울 서초구 효령로 266 2층,37.4841742925994,127.013255264735
72,앤티앤스프레즐 서초본점,"제과,베이커리",0.0,0건,9,서울 서초구 효령로 258 시트러스빌딩 1층,37.4839904832456,127.012460494963
73,버거파이터,햄버거,4.7,9건,8,서울 서초구 사임당로 58 제일빌딩 1층,37.4886519231458,127.016295331893
74,북창동순두부 서초점,두부전문점,2.4,5건,14,서울 서초구 효령로 330 1층,37.4857601563836,127.020252541367
75,예향,한식,0.0,1건,4,서울 서초구 서초중앙로6길 5,37.4863609620923,127.016061233601
76,칭하이,중화요리,2.3,9건,25,서울 서초구 효령로68길 88 진영빌딩 1층,37.485542040319,127.020146990209
77,이고집쭈꾸미 교대직영점,"해물,생선",3.0,3건,20,서울 서초구 서초대로50길 105,37.4886386932269,127.014076507534
78,엘마론,카페,4.2,11건,8,서울 서초구 서초중앙로 51 신성미소시티 1층,37.486312988348,127.014995322006
79,수미관,한정식,4.3,3건,21,서울 서초구 서초중앙로2길 38,37.4838118505352,127.019510307644
80,동수원갈비 서초본점,갈비,2.7,3건,3,서울 서초구 효령로55길 28,37.4861327609484,127.01447946651
