,address,category,eval_cnt,name,review_cnt,score
298,서초동 1430-10,한식,3,궁순대국생삼겹살,0,3.0
299,서초동 1432-24,국수,5,국수마을,0,3.4
300,서초동 1605-2,한식,0,우리집,1,0.0
301,서초동 1617-38,카페,1,카페ASAP,0,5.0
302,서초3동 1451-34,기사식당,1,오미야,0,3.0
303,서초동 1443-30,한식,2,옛집큰손,1,4.0
304,서초동 1601-1,분식,4,명인만두 남부터미널점,0,1.7
305,서초동 1445-15,카페,1,벼리스타,0,2.0
306,서초동 1601-1,"호프,요리주점",2,치킨뱅이 남부터미널점,1,3.0
307,서초동 1595-6,"해물,생선",0,낭만쭈꾸미,0,0.0
308,서초동 1446-1,커피전문점,1,커피온리 남부터미널점,2,1.0
309,서초동 1603-1,"호프,요리주점",0,그린쿡한식뷔페&호프,1,0.0
310,서초동 1595-6,떡볶이,0,인정국물떡볶이,0,0.0
311,서초1동 1442-10,중화요리,6,매화,5,2.5
312,서초동 1438-16,카페,1,끌레르,0,5.0
313,서초동 1598-8,카페,0,카페녹색광선,1,0.0
314,서초동 1586-3,"육류,고기",0,돌쇠고기,0,0.0
315,서초동 1443-17,분식,2,단풍애김밥 남부터미널점,2,5.0
316,서초동 1443-1,분식,1,사랑이네김밥,0,1.0
317,서초동 1624-3,한식,0,소담 교대점,2,0.0
318,서초동 1428-4,한식,0,왕솥뚜껑생삼겹살,0,0.0
319,서초동 1444-21,커피전문점,0,더치앤빈 남부터미널점,0,0.0
320,서초동 1445-14,"떡,한과",1,떡의명가하늘채,0,5.0
321,서초동 1428-5,"족발,보쌈",1,시골밥상,0,3.0
322,서초동 1580-6,고기뷔페,0,교대오리삼겹살뷔페,0,0.0
323,서초동 1603-69,"호프,요리주점",3,화평냉면지짐이,1,4.0
324,서초동 1446-11,커피전문점,0,만랩커피 남부터미널점,0,0.0
325,서초동 1594-3,카페,0,센트로커피,2,0.0
326,서초1동 1621-1,샌드위치,0,그릴드치즈,0,0.0
327,서초동 1445-3,카페,2,착형,3,3.5
328,서초동 1456-3,테마카페,0,소담화플라워카페,0,0.0
329,서초동 1603-67,"호프,요리주점",4,강구항을지로골뱅이,1,2.5
330,서초동 1616-6,오리,0,유황오리,0,0.0
331,서초동 1443-24,"떡,한과",0,금잔디샵,0,0.0
332,서초동 1589-4,술집,1,밀라노,0,1.0
333,서초3동 1451-34,카페,1,미셸푸드카페안젤로 서초평화지점,0,4.0
334,서초동 1597-1,한식,0,정선할매곤드레밥 교대점,1,0.0
335,서초동 1445-3,분식,5,크림앤토마토,11,4.6
336,서초동 1600-11,"제과,베이커리",0,경성찹쌀꽈배기,0,0.0
337,서초동 1445-14,"족발,보쌈",0,장충동왕족발,0,0.0
338,서초동 1589-2,"육류,고기",2,부뚜막,0,3.0
339,서초동 1621-16,카페,0,클럽1d1m,2,0.0
340,서초동 1578-5,장어,0,짱이야산곰장어,0,0.0
341,서초동 1441-1,"제과,베이커리",3,뜨레봉뺑,0,5.0
342,서초동 1603-66,"제과,베이커리",0,서초꽈배기,2,0.0
343,서초동 1600-9,감자탕,0,삼미감자탕,0,0.0
344,서초동 1426-1,한식,1,아워홈 게임빌서초점,0,5.0
345,서초동 1457-4,한식,0,남부식당,0,0.0
346,서초동 1445-3,한식,2,이조,3,4.0
347,서초3동 1579-4,칵테일바,0,A1,0,0.0
348,서초동 1624-3,카페,2,커피킹,0,5.0
349,서초동 1445-3,국수,2,명동칼국수,0,3.0
350,서초동 1439-4,"제과,베이커리",0,오즈룸,0,0.0
351,서초동 1580-6,실내포장마차,0,서초마을&포차,0,0.0
352,서초동 1434-13,한식,1,서초맛골집,0,3.0
353,서초동 1621-9,일본식주점,0,류,9,0.0
354,서초동 1451-25,카페,0,예술다방,1,0.0
355,서초동 1458-10,카페,4,카페525,1,4.0
356,서초동 1588-1,한식,0,마마푸드,0,0.0
357,서초동 1443-17,"제과,베이커리",0,로빈스베이커리 남부터미널점,5,0.0
358,서초동 1443-17,분식,1,홍연자명품김밥,0,3.0
359,서초동 1616-6,"육류,고기",0,삿갓촌,0,0.0
360,서초동 1445-3,카페,0,카페아리코,0,0.0
361,서초동 1428-3,한식,0,청주본가,0,0.0
362,서초동 1431-10,회,0,막썰어횟집,0,0.0
363,서초동 1578-5,참치회,0,오대양참치,0,0.0
364,서초동 1445-3,분식,0,뜨락,0,0.0
365,서초동 1624-1,카페,0,지오,0,0.0
366,서초동 1435-1,카페,1,올리브나무,0,0.0
367,서초동 1628-62,커피전문점,0,카페다임,1,0.0
368,서초동 1446-1,구내식당,0,서울남부터미널 구내식당,1,0.0
369,서초동 1427-16,한식,2,외가집,0,3.0
370,서초동 1598-1,술집,1,소소한펍,0,5.0
371,서초동 1579-5,패밀리레스토랑,0,마치래빗,0,0.0
372,서초동 1603-68,"제과,베이커리",0,더브라운베이커리 서초사무소,0,0.0
373,서초동 1600-11,치킨,1,명동치킨,1,4.0
374,서초동 1445-3,중화요리,0,전주성,0,0.0
375,서초동 1443-28,카페,1,나인아울스,1,5.0
376,서초동 1627-6,도시락,0,도시락나라,0,0.0
377,서초동 1445-3,카페,0,카페인하비토모,1,0.0
378,서초동 1621-1,카페,0,봄cafe2019,0,0.0
379,서초동 1446-1,간식,1,참호도과자 남부터미널점,0,5.0
380,서초동 1434-4,카페,0,카페아미아,0,0.0
381,서초동 1603-68,"족발,보쌈",0,남부족발,0,0.0
382,서초동 1446-11,카페,0,델리뉴스 현대슈퍼빌점,0,0.0
383,서초동 1594-3,카페,0,밀크커피,0,0.0
384,서초동 1606-5,카페,0,모모랑,0,0.0
385,서초동 1589-12,커피전문점,0,카페일레븐,0,0.0
386,서초동 1443-1,커피전문점,2,하타다,0,4.5
387,서초동 1458-2,분식,0,킹콩분식 남부터미널점,1,0.0
388,서초동 1443-30,한식,1,홈푸드,0,5.0
389,서초동 1586-2,"육류,고기",1,옥향의집,0,4.0
390,서초동 1588-8,술집,0,드렁크829,1,0.0
391,서초동 1603-66,치킨,0,통닭가 서초점,1,0.0
392,서초동 1603-10,도시락,0,수도시락,0,0.0
393,서초동 1603-66,오리,0,춘원산오리,0,0.0
394,서초동 1440-1,아이스크림,0,블링블링 서초1호점,0,0.0
395,서초동 1603-68,한식,0,이리오리,0,0.0
396,서초동 1599-2,한식,3,콩사랑,2,1.0
397,서초동 1605-1,카페,0,콩이몽이카페,0,0.0
398,서초동 1438-7,카페,0,모짜르트클럽,0,0.0
399,서초동 1446-1,패스트푸드,0,뉴욕핫도그앤커피 양재남부터미널점,0,0.0
400,서초동 1443-23,"육류,고기",0,바른고기파는사람들 서초점,0,0.0
401,서초동 1445-4,커피전문점,0,커피콩36.5도씨,0,0.0
402,서초동 1603-1,동남아음식,0,나트랑,0,0.0
403,서초동 1458-6,일식,0,와사라 예당점,2,0.0
404,서초동 1603-68,치킨,0,한방숯불바베큐,0,0.0
405,서초동 1597-1,"스테이크,립",2,살몬드비프,0,1.5
406,서초동 1429-8,커피전문점,0,숙카페,0,0.0
407,서초동 1445-3,한식,0,옹심이네,1,0.0
408,서초3동 1586-2,중화요리,0,상하이,0,0.0
409,서초동 1600-9,한식,0,우이령,0,0.0
410,서초동 1588-13,"호프,요리주점",0,SM카페,0,0.0
411,서초동 1589-4,카페,0,카페티타임,0,0.0
412,서초동 1449-8,한식,0,향촌식당,0,0.0
413,서초동 1595-6,한식,0,족삼리,0,0.0
