,name,address,score,score_cnt,review_cnt,awareness,lat,lng
259,카페어게인,성수동1가 27-3,5.0,1,4,1.4,37.5423967,127.0499917
260,카페바치,자양동 9-31,4.0,1,11,2.1,37.5401091,127.0674252
261,쿤스트테이블,성수동2가 333-140,3.0,5,8,5.8,37.5415158,127.0534021
262,비앤에스,성수동1가 656-603,5.0,3,0,3.0,37.5435182,127.0437247
263,카페시벳 성수본점,성수동2가 284-42,3.4,8,2,8.2,37.5478901,127.0518673
264,생활커피 건대로데오점,자양동 9-31,0.0,0,12,1.2,37.5401091,127.0674252
265,커피체리,성수동2가 277-118,5.0,1,3,1.3,37.5479835,127.058251
266,카페자스 성수점,성수동2가 281-17,0.0,0,3,0.3,37.5473011,127.0658056
267,이오커피로스터스,성수동1가 656-570,5.0,3,1,3.1,37.5419293,127.0477887
268,카페랏102,성수동1가 72-112,0.0,0,11,1.1,37.5412363,127.0487764
269,우탄41,성수동1가 668-62,5.0,4,5,4.5,37.5464422,127.0432726
270,영춘커피바,성수동1가 22-8,0.0,0,2,0.2,37.5443931,127.0477212
271,에포프로덕트,성수동1가 685-415,5.0,2,2,2.2,37.54703960000001,127.0410594
272,나인테일,성수동1가 685-501,5.0,4,3,4.3,37.5473118,127.0400668
273,카페수다,성수동2가 289-230,4.3,3,2,3.2,37.5470199,127.0550447
274,성수동리얼로스팅커피 성수점,성수동2가 277-129,5.0,1,0,1.0,37.5440168,127.0605902
275,카페더램프,성수동2가 289-39,1.0,1,2,1.2,37.5481941,127.0556229
276,곰미커피,성수동1가 668-41,0.0,0,5,0.5,37.5468886,127.0438746
277,새촌131,성수동1가 656-131,4.3,3,4,3.4,37.5420846,127.0479429
278,토프레소 성수역점,성수동2가 315-58,3.3,3,1,3.1,37.5439099,127.0550862
279,오즈카페,성수동1가 685-704,0.0,0,8,0.8,37.5435626,127.0436285
280,카페노니다,화양동 31-1,5.0,2,1,2.1,37.5464617,127.0674547
281,모헤닉스테이313,성수동2가 309-141,5.0,1,2,1.2,37.5411095,127.0555504
282,쥬씨 건대역점,자양동 9-31,0.0,0,0,0.0,37.5401091,127.0674252
283,낙원도,성수동2가 328-30,4.0,2,8,2.8,37.5391132,127.0566098
284,거닐다가머물다 본점,화양동 23-28,3.3,7,1,7.1,37.54716579999999,127.0670498
285,에이치위드,성수동2가 323,0.0,0,3,0.3,37.5404561,127.0562048
286,블랙별,성수동2가 284-22,0.0,0,5,0.5,37.5482207,127.0529857
287,커피베이 성동성수점,성수동2가 333-15,3.5,2,0,2.0,37.5397101,127.0545203
288,언더스탠드,성수동2가 273-61,0.0,0,1,0.1,37.5429675,127.0575888
289,한강커피숍,성수동2가 246-13,0.0,0,0,0.0,37.5389912,127.0618844
290,김종욱커피,성수동1가 13-116,4.0,6,8,6.8,37.5495606,127.0495126
291,매머드익스프레스 성수우림점,성수동2가 280-21,0.0,0,0,0.0,37.5467924,127.0632442
292,힐스커피,성수동1가 8-31,5.0,2,3,2.3,37.546762,127.0470551
293,파노라마,성수동2가 275-52,3.0,1,12,2.2,37.5415041,127.0633511
294,카페온화 성수점,성수동2가 302-4,0.0,0,7,0.7,37.5452325,127.0526037
295,라푸르타,화양동 32-4,3.8,6,8,6.8,37.5460648,127.0680832
296,카페디또,성수동2가 328-13,5.0,1,13,2.3,37.5396306,127.0564144
297,넥스트에디션 건대점,자양동 17-5,0.0,0,4,0.4,37.5414539,127.0648612
298,온더코너,화양동 44-1,0.0,1,0,1.0,37.5437645,127.0659187
299,커피온리 성수역점,성수동2가 315-31,2.0,1,2,1.2,37.5433701,127.0546291
300,돌체돌체,성수동2가 320-1,0.0,0,4,0.4,37.5419942,127.0557633
301,카페데플뢰르 성수본점,성수동1가 479-1,5.0,2,1,2.1,37.53761530000001,127.0463636
302,힘이나커피,성수동2가 289-321,0.0,0,12,1.2,37.5455266,127.0570337
303,커피에반하다 건대입구점,화양동 48-21,0.0,0,2,0.2,37.5416669,127.0669565
304,크롭커피,성수동2가 309-148,0.0,0,0,0.0,37.5409365,127.0554327
305,삼옥,성수동2가 289-272,3.0,2,1,2.1,37.5466915,127.0546494
